"rowname","site","state","year","date","delph.plant.num","delph.flower.num","viable","bombus.abund","bombus.rich","bomabund.scale","num.delph","prop.delph","prop.long","num.long","mean.fidelity","color.sim","corolla.sim","species.removed","num.removed","prop.removed"
"118","Gothic Road Grate.2011","control","2011",2011-07-27,"3","3.3",7,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
"119","Gothic Road Grate.2011","control","2011",2011-07-27,"4","4.4",4,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
"120","Gothic Road Grate.2011","control","2011",2011-07-27,"5","5.5",11,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
"121","Gothic Road Grate.2011","control","2011",2011-07-27,"6","6.6",7,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
"122","Gothic Road Grate.2011","control","2011",2011-07-27,"7","7.7",6,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
"123","Gothic Road Grate.2011","control","2011",2011-07-27,"8","8.8",8,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
"124","Gothic Road Grate.2011","control","2011",2011-07-27,"8","8.8",0,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
"125","Gothic Road Grate.2011","control","2011",2011-07-27,"9","9.9",0,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
"126","Gothic Road Grate.2011","control","2011",2011-07-27,"10","10.10",0,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
"127","Gothic Road Grate.2011","control","2011",2011-07-27,"11","11.11",12,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
"128","Gothic Road Grate.2011","control","2011",2011-07-27,"12","12.12",7,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
"129","Gothic Road Grate.2011","control","2011",2011-07-27,"13","13.13",2,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
"130","Gothic Road Grate.2011","control","2011",2011-07-27,"14","14.14",8,74,4,1.00754036260516,4339,0.17119747484711,0.743243243243243,55,0.904761904761905,0.00123774159763877,0.000238027230315148,NA,0,0
